Issue Id,Issue Type,Summary,Assignee,Due Date,Priority,Labels,Parent Id,Description
84,Sub-task,실제 겪은 것은 스크린샷·로그 한 줄 첨부(트러블슈팅 슬라이드 재료),팀장(박준석),2026-09-23,Medium,,82,
85,Task,트러블슈팅 정리 보고 — WEB,WEB 담당,2026-09-23,High,,70,
86,Sub-task,표: 발생 지점 · 증상 · 원인 · 해결 · 확인 명령 (사전 목록 6~8건 + 이번에 실제 겪은 것),WEB 담당,2026-09-23,Medium,,85,
87,Sub-task,실제 겪은 것은 스크린샷·로그 한 줄 첨부(트러블슈팅 슬라이드 재료),WEB 담당,2026-09-23,Medium,,85,
88,Task,트러블슈팅 정리 보고 — WAS,WAS 담당,2026-09-23,High,,70,
89,Sub-task,표: 발생 지점 · 증상 · 원인 · 해결 · 확인 명령 (사전 목록 6~8건 + 이번에 실제 겪은 것),WAS 담당,2026-09-23,Medium,,88,
90,Sub-task,실제 겪은 것은 스크린샷·로그 한 줄 첨부(트러블슈팅 슬라이드 재료),WAS 담당,2026-09-23,Medium,,88,
91,Task,트러블슈팅 정리 보고 — DB,DB 담당,2026-09-23,High,,70,
92,Sub-task,표: 발생 지점 · 증상 · 원인 · 해결 · 확인 명령 (사전 목록 6~8건 + 이번에 실제 겪은 것),DB 담당,2026-09-23,Medium,,91,
93,Sub-task,실제 겪은 것은 스크린샷·로그 한 줄 첨부(트러블슈팅 슬라이드 재료),DB 담당,2026-09-23,Medium,,91,
94,Task,트러블슈팅 취합 보고 + 슬라이드 18 초안,팀장(박준석),2026-09-23,Medium,,70,
95,Epic,E5 발표 자료(구글슬라이드 지정 양식) + 시연 영상 (9/23~9/28),팀장(박준석),2026-09-28,Highest,,,"흐름을 각자 파트로 나눠 발표. 전체 아키텍처는 팀장이 2장으로 '간략히', 각자는 자기 파트 2장 + 다섯 가지 표."
96,Task,지정 양식 확보 · 20장 골격(제목+담당) · 개요·아키텍처·흐름 슬라이드 1~8,팀장(박준석),2026-09-24,High,,95,
97,Sub-task,1 표지 · 2 팀·역할 · 3 개요·시나리오 · 4 요구사항 대응표 · 5 전체 아키텍처 · 6 한 요청의 여행 · 7~8 진입 계층,팀장(박준석),2026-09-24,Medium,,96,
98,Task,파트 슬라이드 9~10 — WEB,WEB 담당,2026-09-28,High,,95,
99,Sub-task,다섯 가지 표(무슨 일 · 우리 값 · 없으면 · 대안 · 확인 방법),WEB 담당,2026-09-28,Medium,,98,
100,Sub-task,콘솔 스크린샷 2장 + 로그 한 줄 · 도면 조각(architecture-current-tiered 크롭),WEB 담당,2026-09-28,Medium,,98,
101,Sub-task,대본 600자(2.5분) · 예상질문 10개 답,WEB 담당,2026-09-28,Medium,,98,
102,Task,파트 슬라이드 11~12 — WAS,WAS 담당,2026-09-28,High,,95,
103,Sub-task,다섯 가지 표(무슨 일 · 우리 값 · 없으면 · 대안 · 확인 방법),WAS 담당,2026-09-28,Medium,,102,
104,Sub-task,콘솔 스크린샷 2장 + 로그 한 줄 · 도면 조각(architecture-current-tiered 크롭),WAS 담당,2026-09-28,Medium,,102,
105,Sub-task,대본 600자(2.5분) · 예상질문 10개 답,WAS 담당,2026-09-28,Medium,,102,
106,Task,파트 슬라이드 13~14 — DB,DB 담당,2026-09-28,High,,95,
107,Sub-task,다섯 가지 표(무슨 일 · 우리 값 · 없으면 · 대안 · 확인 방법),DB 담당,2026-09-28,Medium,,106,
108,Sub-task,콘솔 스크린샷 2장 + 로그 한 줄 · 도면 조각(architecture-current-tiered 크롭),DB 담당,2026-09-28,Medium,,106,
109,Sub-task,대본 600자(2.5분) · 예상질문 10개 답,DB 담당,2026-09-28,Medium,,106,
110,Task,슬라이드 15~20: 로그 흐름 · 보안 · 트러블슈팅 · 부하 테스트 결과 · 비용·트레이드오프 · 로드맵,팀장(박준석),2026-09-28,High,,95,
111,Task,시연 영상: 콘티 → 촬영(A 1분 + B 1.5분) → 편집 → 슬라이드 삽입 → 재생 확인 · 플랜B 파일,시연 담당,2026-09-28,Highest,,95,
112,Sub-task,콘티(화면·자막·순서) 9/23,시연 담당,2026-09-28,Medium,,111,
113,Sub-task,촬영·편집 9/28 오전,시연 담당,2026-09-28,Medium,,111,
114,Sub-task,슬라이드 삽입·재생 확인 9/28 오후,시연 담당,2026-09-28,Medium,,111,
115,Epic,E6 리허설 · 모의 Q&A · 제출 (9/28~10/1),팀장(박준석),2026-10-01,Highest,,,"자체 리허설 4회 + 모의 Q&A 3회. 답변 틀: 이름 → 결론 → 왜(트레이드오프) → 확인 방법. 초안 9/29 저녁 선업로드(기한 9/30 09:00), 최종 9/30 저녁(기한 10/1 09:00)."
116,Task,자체 리허설 1 + 모의 Q&A 1 (타이머 15분 · 이름 먼저 · 화면 전환),팀장(박준석),2026-09-28,High,,115,
117,Task,개인 Q&A 15문 답 작성(자기 파트) → 팀 뱅크 60문,전원,2026-09-28,High,,115,
118,Task,리허설 2·3 + 모의 Q&A 2·3 (온라인 → 현장 순서 흉내) · [초안] 업로드,팀장(박준석),2026-09-29,High,,115,
119,Sub-task,파일명 [초안]AWS1팀-박준석 외 3 · 팀 폴더 > 01. 중간프로젝트,팀장(박준석),2026-09-29,Medium,,118,
120,Task,공식 리허설 9/30 11:30~12:10 → 수정 → [최종] 저녁 업로드,팀장(박준석),2026-09-30,High,,115,
121,Sub-task,zoom 전달력 · 영상 재생 · 실시간 시연 화면 공유 점검,팀장(박준석),2026-09-30,Medium,,120,
122,Sub-task,[최종]AWS1팀-박준석 외 3 업로드(10/1 09:00 이후 수정 불가),팀장(박준석),2026-09-30,Medium,,120,
123,Task,발표 당일: 09:00 제출 확인 · 10:30 사이트·zoom·공용 노트북 점검 · 11:25 대기 · 11:30 발표,팀장(박준석),2026-10-01,High,,115,
